domain,occupation,n_skills,n_pillars,exposure,pct_2023,pct_2026,change_pp
arts and humanities,All,127,3,0.517,8.85,14.26,5.41
arts and humanities,Marketing Managers,127,3,0.517,11.47,16.39,4.92
arts and humanities,Human Resources Managers,127,3,0.517,7.9,14.69,6.79
arts and humanities,Financial Managers,127,3,0.517,5.37,9.75,4.38
assisting and caring,All,472,7,0.478,35.49,37.46,1.97
assisting and caring,Marketing Managers,472,7,0.478,30.87,34.59,3.72
assisting and caring,Human Resources Managers,472,7,0.478,44.49,44.34,-0.15
assisting and caring,Financial Managers,472,7,0.478,38.52,40.01,1.49
attitudes,All,88,14,0.482,21.9,27.68,5.78
attitudes,Marketing Managers,88,14,0.482,20.53,24.92,4.39
attitudes,Human Resources Managers,88,14,0.482,19.69,26.16,6.47
attitudes,Financial Managers,88,14,0.482,24.87,33.95,9.08
"business, administration and law",All,278,2,0.507,72.86,72.72,-0.14
"business, administration and law",Marketing Managers,278,2,0.507,73.57,72.23,-1.34
"business, administration and law",Human Resources Managers,278,2,0.507,67.42,66.96,-0.46
"business, administration and law",Financial Managers,278,2,0.507,74.12,76.44,2.32
"communication, collaboration and creativity",All,1232,15,0.479,76.92,79.06,2.14
"communication, collaboration and creativity",Marketing Managers,1232,15,0.479,80.14,80.17,0.03
"communication, collaboration and creativity",Human Resources Managers,1232,15,0.479,71.59,77.27,5.68
"communication, collaboration and creativity",Financial Managers,1232,15,0.479,74.4,77.67,3.27
education,All,23,1,0.472,5.3,5.26,-0.04
education,Marketing Managers,23,1,0.472,5.37,5.47,0.1
education,Human Resources Managers,23,1,0.472,6.22,5.7,-0.52
education,Financial Managers,23,1,0.472,4.79,4.64,-0.15
"engineering, manufacturing and construction",All,269,3,0.503,8.74,13.18,4.44
"engineering, manufacturing and construction",Marketing Managers,269,3,0.503,11.36,14.08,2.72
"engineering, manufacturing and construction",Human Resources Managers,269,3,0.503,5.69,14.1,8.41
"engineering, manufacturing and construction",Financial Managers,269,3,0.503,6.13,10.93,4.8
handling and moving,All,271,13,0.496,11.81,11.24,-0.57
handling and moving,Marketing Managers,271,13,0.496,14.21,12.18,-2.03
handling and moving,Human Resources Managers,271,13,0.496,10.19,11.19,1.0
handling and moving,Financial Managers,271,13,0.496,8.92,9.38,0.46
health and welfare,All,206,2,0.491,17.91,21.57,3.66
health and welfare,Marketing Managers,206,2,0.491,16.86,21.71,4.85
health and welfare,Human Resources Managers,206,2,0.491,20.26,27.42,7.16
health and welfare,Financial Managers,206,2,0.491,18.47,18.55,0.08
information and communication technologies (icts),All,250,1,0.568,22.4,31.27,8.87
information and communication technologies (icts),Marketing Managers,250,1,0.568,27.01,34.21,7.2
information and communication technologies (icts),Human Resources Managers,250,1,0.568,17.6,28.43,10.83
information and communication technologies (icts),Financial Managers,250,1,0.568,17.6,26.67,9.07
information skills,All,869,10,0.571,50.52,51.62,1.1
information skills,Marketing Managers,869,10,0.571,47.36,48.99,1.63
information skills,Human Resources Managers,869,10,0.571,38.03,42.94,4.91
information skills,Financial Managers,869,10,0.571,60.53,61.01,0.48
management skills,All,828,10,0.487,80.21,77.8,-2.41
management skills,Marketing Managers,828,10,0.487,78.99,75.86,-3.13
management skills,Human Resources Managers,828,10,0.487,88.46,84.44,-4.02
management skills,Financial Managers,828,10,0.487,78.51,78.6,0.09
"natural sciences, mathematics and statistics",All,124,4,0.514,7.37,8.62,1.25
"natural sciences, mathematics and statistics",Marketing Managers,124,4,0.514,7.25,8.55,1.3
"natural sciences, mathematics and statistics",Human Resources Managers,124,4,0.514,6.02,8.31,2.29
"natural sciences, mathematics and statistics",Financial Managers,124,4,0.514,8.12,8.93,0.81
services,All,105,4,0.486,3.36,4.53,1.17
services,Marketing Managers,105,4,0.486,2.84,4.55,1.71
services,Human Resources Managers,105,4,0.486,5.73,5.75,0.02
services,Financial Managers,105,4,0.486,3.14,3.92,0.78
"social sciences, journalism and information",All,76,2,0.527,43.79,45.38,1.59
"social sciences, journalism and information",Marketing Managers,76,2,0.527,44.38,47.3,2.92
"social sciences, journalism and information",Human Resources Managers,76,2,0.527,56.94,48.67,-8.27
"social sciences, journalism and information",Financial Managers,76,2,0.527,37.31,39.98,2.67
values,All,28,3,0.393,4.89,6.08,1.19
values,Marketing Managers,28,3,0.393,4.05,5.3,1.25
values,Human Resources Managers,28,3,0.393,9.33,8.49,-0.84
values,Financial Managers,28,3,0.393,4.25,6.51,2.26
working with computers,All,180,6,0.579,20.24,26.64,6.4
working with computers,Marketing Managers,180,6,0.579,25.27,30.76,5.49
working with computers,Human Resources Managers,180,6,0.579,16.58,19.44,2.86
working with computers,Financial Managers,180,6,0.579,14.33,21.71,7.38
working with machinery and specialised equipment,All,258,10,0.494,3.63,4.89,1.26
working with machinery and specialised equipment,Marketing Managers,258,10,0.494,3.61,5.7,2.09
working with machinery and specialised equipment,Human Resources Managers,258,10,0.494,5.73,3.99,-1.74
working with machinery and specialised equipment,Financial Managers,258,10,0.494,2.77,3.69,0.92
