group,occupation,n_skills,exposure,pct_2023,pct_2026,change_pp
accepting feedback,All,5,0.552,0.48,0.57,0.09
accepting feedback,Marketing Managers,5,0.552,0.57,0.5,-0.07
accepting feedback,Human Resources Managers,5,0.552,0.61,1.25,0.64
accepting feedback,Financial Managers,5,0.552,0.3,0.38,0.08
accounting and taxation,All,11,0.595,10.28,11.67,1.39
accounting and taxation,Marketing Managers,11,0.595,1.59,1.63,0.04
accounting and taxation,Human Resources Managers,11,0.595,1.92,3.35,1.43
accounting and taxation,Financial Managers,11,0.595,26.75,35.83,9.08
adapt to change,All,9,0.399,0.99,1.61,0.62
adapt to change,Marketing Managers,9,0.399,0.94,1.58,0.64
adapt to change,Human Resources Managers,9,0.399,1.56,1.98,0.42
adapt to change,Financial Managers,9,0.399,0.82,1.5,0.68
administering human resources,All,3,0.543,0.15,0.25,0.1
administering human resources,Marketing Managers,3,0.543,0.0,0.0,0.0
administering human resources,Human Resources Managers,3,0.543,0.74,1.04,0.3
administering human resources,Financial Managers,3,0.543,0.12,0.38,0.26
advising and consulting,All,7,0.444,2.24,2.64,0.4
advising and consulting,Marketing Managers,7,0.444,3.14,2.17,-0.97
advising and consulting,Human Resources Managers,7,0.444,1.64,2.28,0.64
advising and consulting,Financial Managers,7,0.444,1.15,3.75,2.6
advising on business or operational matters,All,8,0.402,0.31,0.7,0.39
advising on business or operational matters,Marketing Managers,8,0.402,0.25,0.71,0.46
advising on business or operational matters,Human Resources Managers,8,0.402,0.29,1.05,0.76
advising on business or operational matters,Financial Managers,8,0.402,0.4,0.53,0.13
"advising on legal, regulatory or procedural matters",All,27,0.476,0.51,0.69,0.18
"advising on legal, regulatory or procedural matters",Marketing Managers,27,0.476,0.15,0.51,0.36
"advising on legal, regulatory or procedural matters",Human Resources Managers,27,0.476,0.53,0.61,0.08
"advising on legal, regulatory or procedural matters",Financial Managers,27,0.476,1.05,1.09,0.04
advising on products and services,All,18,0.384,2.6,1.67,-0.93
advising on products and services,Marketing Managers,18,0.384,1.15,1.4,0.25
advising on products and services,Human Resources Managers,18,0.384,7.12,2.29,-4.83
advising on products and services,Financial Managers,18,0.384,2.84,1.94,-0.9
advising on workplace health and safety issues,All,5,0.448,2.02,2.45,0.43
advising on workplace health and safety issues,Marketing Managers,5,0.448,1.27,2.26,0.99
advising on workplace health and safety issues,Human Resources Managers,5,0.448,7.49,4.72,-2.77
