pillar,occupation,n_skills,n_groups,exposure,pct_2023,pct_2026,change_pp
accessing and analysing digital data,All,69,3,0.636,8.6,12.62,4.02
accessing and analysing digital data,Marketing Managers,69,3,0.636,11.7,16.44,4.74
accessing and analysing digital data,Human Resources Managers,69,3,0.636,5.77,5.31,-0.46
accessing and analysing digital data,Financial Managers,69,3,0.636,5.19,8.33,3.14
advising and consulting,All,108,9,0.428,10.21,10.91,0.7
advising and consulting,Marketing Managers,108,9,0.428,7.92,9.18,1.26
advising and consulting,Human Resources Managers,108,9,0.428,13.1,11.35,-1.75
advising and consulting,Financial Managers,108,9,0.428,12.39,14.21,1.82
allocating and controlling resources,All,93,4,0.502,21.79,20.58,-1.21
allocating and controlling resources,Marketing Managers,93,4,0.502,11.54,11.05,-0.49
allocating and controlling resources,Human Resources Managers,93,4,0.502,51.0,41.59,-9.41
allocating and controlling resources,Financial Managers,93,4,0.502,24.59,29.99,5.4
analysing and evaluating information and data,All,211,7,0.582,22.48,22.97,0.49
analysing and evaluating information and data,Marketing Managers,211,7,0.582,19.58,22.59,3.01
analysing and evaluating information and data,Human Resources Managers,211,7,0.582,12.93,17.9,4.97
analysing and evaluating information and data,Financial Managers,211,7,0.582,30.86,26.1,-4.76
architecture and construction,All,32,2,0.493,0.74,1.3,0.56
architecture and construction,Marketing Managers,32,2,0.493,1.01,1.12,0.11
architecture and construction,Human Resources Managers,32,2,0.493,0.7,3.4,2.7
architecture and construction,Financial Managers,32,2,0.493,0.35,0.7,0.35
arts,All,78,5,0.518,3.97,5.99,2.02
arts,Marketing Managers,78,5,0.518,6.6,9.39,2.79
arts,Human Resources Managers,78,5,0.518,1.68,1.55,-0.13
arts,Financial Managers,78,5,0.518,1.05,1.2,0.15
assembling and fabricating products,All,53,9,0.488,7.58,6.15,-1.43
assembling and fabricating products,Marketing Managers,53,9,0.488,9.74,7.47,-2.27
assembling and fabricating products,Human Resources Managers,53,9,0.488,5.24,5.78,0.54
assembling and fabricating products,Financial Managers,53,9,0.488,5.35,3.67,-1.68
biological and related sciences,All,33,2,0.495,2.18,2.44,0.26
biological and related sciences,Marketing Managers,33,2,0.495,2.74,2.62,-0.12
biological and related sciences,Human Resources Managers,33,2,0.495,1.56,2.0,0.44
biological and related sciences,Financial Managers,33,2,0.495,1.6,2.29,0.69
building and developing teams,All,11,1,0.225,3.52,3.91,0.39
building and developing teams,Marketing Managers,11,1,0.225,4.63,4.48,-0.15
building and developing teams,Human Resources Managers,11,1,0.225,4.13,4.49,0.36
building and developing teams,Financial Managers,11,1,0.225,1.6,2.49,0.89
business and administration,All,212,7,0.541,71.64,71.97,0.33
business and administration,Marketing Managers,212,7,0.541,73.1,71.7,-1.4
business and administration,Human Resources Managers,212,7,0.541,61.93,64.55,2.62
business and administration,Financial Managers,212,7,0.541,73.61,75.98,2.37
calculating and estimating,All,42,4,0.563,5.91,6.69,0.78
calculating and estimating,Marketing Managers,42,4,0.563,5.68,5.13,-0.55
calculating and estimating,Human Resources Managers,42,4,0.563,2.01,3.32,1.31
calculating and estimating,Financial Managers,42,4,0.563,7.93,11.41,3.48
"communication, collaboration and creativity",All,7,1,0.453,5.57,5.73,0.16
"communication, collaboration and creativity",Marketing Managers,7,1,0.453,7.5,6.76,-0.74
"communication, collaboration and creativity",Human Resources Managers,7,1,0.453,4.34,3.59,-0.75
"communication, collaboration and creativity",Financial Managers,7,1,0.453,3.22,4.64,1.42
"conducting studies, investigations and examinations",All,133,4,0.546,11.38,9.16,-2.22
"conducting studies, investigations and examinations",Marketing Managers,133,4,0.546,9.11,9.81,0.7
"conducting studies, investigations and examinations",Human Resources Managers,133,4,0.546,7.78,7.43,-0.35
"conducting studies, investigations and examinations",Financial Managers,133,4,0.546,16.28,8.66,-7.62
counselling,All,21,4,0.367,1.67,1.63,-0.04
counselling,Marketing Managers,21,4,0.367,0.89,1.17,0.28
counselling,Human Resources Managers,21,4,0.367,4.79,3.0,-1.79
counselling,Financial Managers,21,4,0.367,1.5,1.91,0.41
"creating artistic, visual or instructive materials",All,102,4,0.503,12.25,17.8,5.55
"creating artistic, visual or instructive materials",Marketing Managers,102,4,0.503,18.14,23.14,5.0
"creating artistic, visual or instructive materials",Human Resources Managers,102,4,0.503,5.44,12.8,7.36
