occupation,year,node,category,type,n_jobs,total_jobs,pct,conf_min
Marketing Managers,2023,Declarative and retrieval-based knowledge,Declining,hard,2417,8528,28.3,1
Marketing Managers,2023,Individual knowledge,Declining,soft,252,8528,3.0,1
Marketing Managers,2023,Locate and retrieve information,Declining,hard,609,8528,7.1,1
Marketing Managers,2023,language-specific knowledge,Declining,soft,252,8528,3.0,1
Marketing Managers,2023,Digital information analysis and synthesis,Declining,hard,531,8528,6.2,1
Marketing Managers,2023,business knowledge as stored facts,Declining,hard,1540,8528,18.1,1
Marketing Managers,2023,Standardized routine execution,Declining,hard,1200,8528,14.1,1
Marketing Managers,2023,Routine tasks,Declining,hard,1200,8528,14.1,1
Marketing Managers,2023,Foundations,Enduring,hard,6547,8528,76.8,1
Marketing Managers,2023,Creativity,Enduring,soft,4171,8528,48.9,1
Marketing Managers,2023,Business and management foundations,Enduring,hard,5904,8528,69.2,1
Marketing Managers,2023,Entrepreneurial and Innovation-Oriented Thinking,Enduring,soft,2747,8528,32.2,1
Marketing Managers,2023,"Quantitative, data, and analytical foundations",Enduring,hard,3309,8528,38.8,1
Marketing Managers,2023,Creative Thinking and Curiosity,Enduring,soft,2198,8528,25.8,1
Marketing Managers,2023,A structured approach to work,Enduring,hard,4432,8528,52.0,1
Marketing Managers,2023,Criticism,Enduring,soft,1102,8528,12.9,1
Marketing Managers,2023,Analytical and Structured Problem-Solving,Enduring,hard,2029,8528,23.8,1
Marketing Managers,2023,Analytical and critical thinking,Enduring,soft,473,8528,5.5,1
Marketing Managers,2023,Data- and Evidence-Based Decision-Making,Enduring,hard,1423,8528,16.7,1
Marketing Managers,2023,Critical thinking,Enduring,soft,53,8528,0.6,1
Marketing Managers,2023,Methodical Process and Technology Management,Enduring,hard,2494,8528,29.2,1
Marketing Managers,2023,Ethical decision-making,Enduring,soft,609,8528,7.1,1
Marketing Managers,2023,Communications,Enduring,hard,4211,8528,49.4,1
Marketing Managers,2023,Collaboration,Enduring,soft,5521,8528,64.7,1
Marketing Managers,2023,Business & Professional communication,Enduring,hard,4064,8528,47.7,1
Marketing Managers,2023,Teamwork and cooperation,Enduring,soft,860,8528,10.1,1
Marketing Managers,2023,Data communication and storytelling,Enduring,hard,480,8528,5.6,1
Marketing Managers,2023,Leadership and social influence,Enduring,soft,2880,8528,33.8,1
Marketing Managers,2023,Emotional and interpersonal intelligence,Enduring,soft,4153,8528,48.7,1
Marketing Managers,2023,Learning,Enduring,soft,604,8528,7.1,1
Marketing Managers,2023,Learning orientation,Enduring,soft,519,8528,6.1,1
Marketing Managers,2023,Self-reflection,Enduring,soft,96,8528,1.1,1
Marketing Managers,2023,"AI Interaction (How do humans use, communicate with, and evaluate AI?)",Emerging,hard,2311,8528,27.1,1
Marketing Managers,2023,Adaptability (capacity to respond constructively to technological and organizational change),Emerging,soft,260,8528,3.0,1
Marketing Managers,2023,Digital and AI literacy,Emerging,hard,2245,8528,26.3,1
Marketing Managers,2023,Adaptive Mindset and Resilience,Emerging,soft,203,8528,2.4,1
Marketing Managers,2023,Prompting skills,Emerging,hard,0,8528,0.0,1
Marketing Managers,2023,AI-Driven Change and Opportunity Management,Emerging,soft,66,8528,0.8,1
Marketing Managers,2023,AI Use-Case Identification and Professional Application,Emerging,hard,96,8528,1.1,1
Marketing Managers,2023,AI self-efficacy,Emerging,soft,0,8528,0.0,1
Marketing Managers,2023,AI monitoring; output evaluation and verification,Emerging,hard,0,8528,0.0,1
Marketing Managers,2023,AI-ideation,Emerging,hard,0,8528,0.0,1
Marketing Managers,2023,"AI System Design (How are AI-supported tools, workflows, and processes designed?)",Emerging,hard,561,8528,6.6,1
Marketing Managers,2023,Systemic Skills (ability to understand AI implementation within a wider organizational and socio-technical context),Emerging,soft,43,8528,0.5,1
Marketing Managers,2023,AI Development and Implementation,Emerging,hard,147,8528,1.7,1
Marketing Managers,2023,Human-AI collaboration,Emerging,soft,10,8528,0.1,1
Marketing Managers,2023,AI Data and Process Management,Emerging,hard,263,8528,3.1,1
Marketing Managers,2023,Socio-Technical Systems Thinking,Emerging,soft,33,8528,0.4,1
Marketing Managers,2023,AI infrastructure and Deployment Readiness,Emerging,hard,211,8528,2.5,1
Marketing Managers,2023,AI transformation and organizational redesign,Emerging,soft,0,8528,0.0,1
Marketing Managers,2023,"AI Governance (How do we ensure AI is used responsibly, safely, legally, and accountably?)",Emerging,hard,1239,8528,14.5,1
Marketing Managers,2023,Governance and Accountability Structures,Emerging,hard,599,8528,7.0,1
Marketing Managers,2023,Responsible and Ethical AI Evaluation,Emerging,hard,24,8528,0.3,1
Marketing Managers,2023,"AI Risk, Privacy, and Security Management",Emerging,hard,351,8528,4.1,1
Marketing Managers,2023,Societal and Environmental AI Impact,Emerging,hard,389,8528,4.6,1
Marketing Managers,2026,Declarative and retrieval-based knowledge,Declining,hard,13818,43126,32.0,1
Marketing Managers,2026,Individual knowledge,Declining,soft,905,43126,2.1,1
Marketing Managers,2026,Locate and retrieve information,Declining,hard,4079,43126,9.5,1
Marketing Managers,2026,language-specific knowledge,Declining,soft,905,43126,2.1,1
Marketing Managers,2026,Digital information analysis and synthesis,Declining,hard,4056,43126,9.4,1
Marketing Managers,2026,business knowledge as stored facts,Declining,hard,7655,43126,17.8,1
Marketing Managers,2026,Standardized routine execution,Declining,hard,8476,43126,19.7,1
Marketing Managers,2026,Routine tasks,Declining,hard,8476,43126,19.7,1
Marketing Managers,2026,Foundations,Enduring,hard,31889,43126,73.9,1
Marketing Managers,2026,Creativity,Enduring,soft,21823,43126,50.6,1
Marketing Managers,2026,Business and management foundations,Enduring,hard,27627,43126,64.1,1
Marketing Managers,2026,Entrepreneurial and Innovation-Oriented Thinking,Enduring,soft,14471,43126,33.6,1
Marketing Managers,2026,"Quantitative, data, and analytical foundations",Enduring,hard,18917,43126,43.9,1
Marketing Managers,2026,Creative Thinking and Curiosity,Enduring,soft,12851,43126,29.8,1
Marketing Managers,2026,A structured approach to work,Enduring,hard,21902,43126,50.8,1
Marketing Managers,2026,Criticism,Enduring,soft,5947,43126,13.8,1
Marketing Managers,2026,Analytical and Structured Problem-Solving,Enduring,hard,9148,43126,21.2,1
Marketing Managers,2026,Analytical and critical thinking,Enduring,soft,3322,43126,7.7,1
Marketing Managers,2026,Data- and Evidence-Based Decision-Making,Enduring,hard,7128,43126,16.5,1
Marketing Managers,2026,Critical thinking,Enduring,soft,300,43126,0.7,1
Marketing Managers,2026,Methodical Process and Technology Management,Enduring,hard,13949,43126,32.3,1
